week_ending,JN.1,JN.1.7,KP.2,KP.3,KP.2.3,LB.1,KP.3.1.1,Other Variants
2024-04-27,30.348777770996094,13.279010355472565,10.849917680025099,0,0,0,0,45.52229419350624
2024-05-11,21.630583703517917,11.197313666343687,12.842981517314911,0,0,0,0,54.329121112823486
2024-05-25,13.179747760295868,0,14.766158163547516,16.27502292394638,0,0,0,55.779071152210236
2024-06-08,9.915854781866074,0,12.857651710510254,25.041189789772034,0,0,0,52.18530371785164
2024-06-22,0,0,10.684143006801603,27.134969830513,12.284310907125471,0,0,49.89657625555992
2024-07-06,0,0,0,33.74595940113068,12.690101563930511,11.613994091749193,0,41.949944943189614
2024-07-20,0,0,0,32.89742767810821,12.84961998462677,0,17.689278721809387,36.563673615455635
